"자치구명","법정동명","건축_면적","총연면적","용적_율","지상_층_수","지하_층_수","용도","승강기수","가용주차면적","가용주차대수","unit_price","경과년도"
"구로구","구로동",89.42,426.45,335.79,5,0,"공동주택",0,0,0,3794037.9403794,27
"용산구","청파동2가",91.73,402.4,200.4,4,1,"공동주택",0,0,0,5750273.82256298,28
"용산구","후암동",552.09,3213.53,255.29,5,1,"공동주택",2,333.5,29,5830223.88059701,19
"성동구","도선동",434.13,6595.01,805.01,17,2,"업무시설",2,50.25,83,13553578.9919526,4
"용산구","후암동",469.4,2961.02,243.9,5,1,"공동주택",0,727.63,26,5823687.85033122,19
"용산구","이촌동",14989.12,72486.47,1586.88,88,2,"공동주택",12,0,1860,30395136.7781155,27
"광진구","중곡동",140.76,645.24,198.54,5,1,"공동주택",1,154.98,7,6447587.35440932,5
"성동구","행당동",1639.85,17569.06,8.9549,6,3,"근린생활시설",2,0,0,23849232.8218813,21
"중구","충무로5가",1703.59,12220.38,208.09,7,3,"공동주택",3,2746.5,100,20228136.8821293,3
"성동구","성수동1가",845.59,11454.34,274.07,12,2,"공동주택",2,0,88,1.6e+07,24
"성동구","마장동",20166.2676,46253.083,1448.7,100,6,"공동주택",9,0,2724,16398929.0495315,25
"성동구","하왕십리동",222.62,2154.31,436.17,9,2,"공동주택",1,133,16,10708722.741433,8
"성동구","응봉동",69.54,266.54,168.37,3,1,"공동주택",0,0,0,3094517.32256979,28
"마포구","공덕동",401.03,3995.22,205.79,9,1,"공동주택",0,940.4,25,5398773.00613497,25
"광진구","자양동",176.64,659.86,195.39,6,0,"공동주택",1,92,8,6867671.69179229,7
"광진구","자양동",71.4,272.39,158.96,4,1,"공동주택",0,68.7,6,17859154.9295775,14
"광진구","구의동",1128.4,11940.09,299.79,10,1,"업무시설",2,3275.53,114,5156881.01894998,18
"성동구","옥수동",3675.04,51520.52,1458.75,80,5,"공동주택",10,84180,1872,22871452.4207012,24
"성동구","송정동",453.43,1821.21,199.13,18,1,"공동주택",3,0,0,6235357.72211209,5
"용산구","청파동1가",143.44,531.59,163.78,3,1,"공동주택",0,163.8,6,7231404.95867769,13
"성동구","행당동",1632.55,15369.12,399.17,12,2,"업무시설",3,1295,112,6441223.83252818,17
"성동구","금호동1가",26.94,80.82,112.25,2,1,"공동주택",0,0,0,2532928.06484296,25
"성동구","금호동2가",58.3,148.64,94.13,2,1,"공동주택",0,0,0,7459207.45920746,28
"성동구","성수동1가",16395.95,34667.91,1470.3,74,5,"공동주택",9,27995.2,1365,25084175.0841751,27
"성동구","행당동",5794.87,61878.86,31.0289640758408,111,9,"공동주택",17,0,0,17719110.47687,23
"광진구","구의동",244.5,659.83,161.6,5,0,"공동주택",2,225.71,11,11955555.5555556,6
"광진구","구의동",240.888,1230.09,148.52,8,2,"공동주택",0,778.26,26,5948446.79444812,9
"광진구","자양동",143.74,486.66,199.04,6,0,"공동주택",1,130.4,8,7133085.79245652,6
"성동구","금호동4가",289.03,1763.56,3.59,5,1,"제1종근린생활시설",1,0,1029,21444562.2717097,14
"광진구","군자동",2307.52,34015.08,869.03,44,1,"공동주택",5,12288.43,521,13342228.1521014,25
"용산구","효창동",243.36,1403.8,183.14,4,2,"공동주택",0,333.41,10,7812500,24
"중랑구","면목동",165.28,551.9,199.96,6,0,"공동주택",1,92,8,9069130.73237509,7
"동대문구","장안동",489.09,8425.979,800.67,19,3,"업무시설",2,872.855,114,14696469.2482916,1
"중랑구","망우동",283.63,2378.61,403.74,11,1,"공동주택",1,230.87,24,4784116.73244827,19
"중랑구","중화동",172.62,658.23,170.97,5,0,"공동주택",0,92,8,4530809.50463149,18
"중랑구","신내동",27619.6,89599.62,1742.75,112,5,"공동주택",22,61346.85,2830,8147533.20683112,27
"광진구","구의동",196.02,933.84,184.15,4,1,"공동주택",0,174.16,4,3793103.44827586,27
"광진구","광장동",123.75,548.17,215.65,4,1,"공동주택",0,0,4,5336697.06966815,27
"광진구","중곡동",92.7,466.99,228.58,4,1,"공동주택",0,57.5,5,3360537.68602976,18
"광진구","구의동",287.01,1231.81,187.05,5,1,"공동주택",1,524.91,19,8766337.26490277,13
"광진구","구의동",212.77,851.08,150.46,3,1,"제2종근린생활시설",0,92,8,19676504.9191262,24
"광진구","구의동",142.56,618.16,199.8907,5,1,"공동주택",1,142.56,8,6884951.78291097,7
"광진구","능동",158.44,395.32,149.57,3,0,"공동주택",0,92,8,5297098.11146937,15
"성동구","금호동3가",123.75,475.5,174.63,3,1,"공동주택",0,34.5,3,12138297.8723404,21
"광진구","자양동",107.47,358.53,199.07,5,0,"공동주택",0,94.26,7,7156488.54961832,12
"성동구","성수동2가",1288.77,20630.4,449.1,11,3,"업무시설",4,6880.7,157,5484330.48433048,18
"용산구","용문동",138.74,601.7,201.09,4,1,"공동주택",0,0,5,8205216.79046467,19
"용산구","용문동",171.41,597.53,199.51,4,0,"공동주택",1,68.05,6,7107623.31838565,18
"동대문구","휘경동",130.66,414.56,122.41,3,1,"공동주택",0,0,5,6608798.5796015,23
"중랑구","면목동",203.18,734.58,192.198,6,0,"공동주택",1,0,10,7373455.55998406,5
"광진구","자양동",118.6,336.75,168.12,4,0,"공동주택",0,57.5,5,5350988.57246508,18
"동대문구","휘경동",197.18,1497.09,330.38,9,2,"공동주택",1,0,27,16303724.9283668,1
"광진구","중곡동",440.02,1654.36,199.7,18,0,"공동주택",3,763.2,66,10968612.8923388,7
"중랑구","상봉동",5927.73,79506.22,246.5,135,13,"공동주택",14,0,7488,9468584.85026424,25
"성동구","성수동1가",1018.41,11595.67,379.72,10,3,"업무시설",2,4353.39,128,8194364.5773433,16
"광진구","중곡동",82.65,196.56,138.33,4,0,"공동주택",0,67.95,3,7572315.6141148,13
"광진구","자양동",8233.636,54117.39,31,3,3,"판매시설",5,0,3869,18053927.3153576,14
"중랑구","신내동",4659.13,74687.88,1351.06,94,7,"공동주택",13,0,2355,9945750.45207957,25
"중랑구","중화동",156.95,561.99,199.64,6,0,"공동주택",1,92,8,6103785.62313909,4
"용산구","후암동",107.4,404.17,184.89,4,1,"공동주택",0,71.54,5,6468155.50041356,12
"광진구","중곡동",148.04,525.13,211.83,5,0,"공동주택",0,80.5,7,4287403.90301597,17
"중랑구","상봉동",152.06,584.88,228.29,5,0,"공동주택",0,138.96,8,4701944.53299331,19
"동대문구","장안동",491.03,1885.17,199.67,18,0,"공동주택",3,828,72,6800547.69511638,7
"중랑구","묵동",105.96,363.57,199.84,6,0,"공동주택",1,69.5,6,6358792.18472469,6
"광진구","군자동",425.65,1996.43,148.29,4,1,"공동주택",0,623.3,17,5909909.90990991,23
"광진구","구의동",97.84,400.72,149.77,3,1,"공동주택",0,63.89,4,2428544.74126658,16
"광진구","구의동",224.91,751.61,199.9,6,0,"공동주택",1,162.15,14,8470394.73684211,6
